Country,Region,M_Age0to14,M_Age15to24,M_Age25to34,M_Age35to44,M_Age45to54,M_Age55to64,M_Age65Plus,F_Age0to14,F_Age15to24,F_Age25to34,F_Age35to44,F_Age45to54,F_Age55to64,F_Age65Plus,TotalPopAffected
JAM,AMR,16669417,10636505,8299178,6054663,4363413,2904509,2904974,16169632,10514053,8447430,6304618,4660052,3245791,3790090,104964312
JOR,EMR,45008389,23450406,18517404,13590716,9008691,4907911,3277175,43105511,21965735,16679927,12015807,7917767,4568295,3570419,227584193
JPN,WPR,412624268,321064986,346742518,367554596,352099408,311214986,401545093,394260512,307060051,333482385,359278097,351456105,327148447,546732003,5132263417
KAZ,EUR,97050819,58319415,53560142,42203340,33177228,21978788,14745808,94583735,58182901,54789332,45210988,38071719,29377921,29002147,670254311
KEN,AFR,297587155,138525148,96333775,59999365,34270847,18284736,12977285,296073729,139521087,96873438,60499884,36878203,21360849,17188448,1326373953
KGZ,EUR,35625547,20037562,15935457,11070925,7971717,4972171,3493449,34985673,20079114,16281730,11773216,8892573,6210203,5858575,203187931
KHM,WPR,90206050,47068812,36685420,25677635,18083006,10191544,6533822,87270468,46990412,37916950,27760955,21175006,13710211,10451348,479721654
KIR,WPR,733425,369669,270055,194271,137967,77884,50178,703008,372164,293388,211841,150683,93394,76712,3734686
KNA,AMR,261575,169428,145230,113818,85106,60046,65657,259716,169527,149241,115153,87786,65632,88232,1836194
KOR,WPR,208067628,164877144,162512711,148915694,120809463,81358482,63742387,192705576,152120049,155315098,143196440,119997058,87982614,95624781,1897225115
KWT,EMR,14470990,7980984,12266942,12518934,7145314,2892990,1111501,13429733,6855154,8196760,6952184,3831850,1618310,861134,100132737
LAO,WPR,43542648,22448015,16343807,11253101,7658203,4845884,3694280,42124145,21892717,16050023,11239214,7952528,5214648,4454335,218713582
LBN,EMR,28416348,17411479,14446138,11079230,8186731,5425381,4506757,27188195,16771614,14607702,11683556,9057098,6292587,5992304,181065146
LBR,AFR,27793628,12207169,8683023,6155964,4167964,2678311,1943169,27506167,12244388,8938410,6537465,4481571,2963648,2180751,128481672
LBY,EMR,37240301,21710343,18457885,14148792,8700082,4815674,3715760,35374570,20365129,16443229,12147052,7607038,4527166,4077557,209330594
LCA,AMR,1000381,616542,488790,384513,287954,195226,192475,973803,611958,496463,392347,297238,212501,249778,6399996
LKA,SEA,110347664,69302319,59870091,49490685,38652266,28494743,25343481,106886095,68394505,60682859,50735459,40527082,30756882,30736310,770220458
